	Gene	Associated Disease
171	FGF13	('Developmental_and_epileptic_encephalopathy_90',)
172	F9	('{Deep_venous_thrombosis,protection_against}\\x3bHemophilia_B\\x3bThrombophilia_8,X-linked,due_to_factor_IX_defect\\x3b{Warfarin_sensitivity}',)
173	ATP11C	('?Hemolytic_anemia,congenital,X-linked',)
174	SOX3	('Intellectual_developmental_disorder,X-linked,with_isolated_growth_hormone_deficiency\\x3bPanhypopituitarism,X-linked',)
175	AFF2	('Intellectual_developmental_disorder,X-linked_109',)
176	IDS	('Mucopolysaccharidosis_II',)
177	MAMLD1	('Hypospadias_2,X-linked',)
178	MTM1	('Myopathy,centronuclear,X-linked',)
179	HMGB3	('?Microphthalmia,syndromic_13',)
180	GABRA3	('Epilepsy,X-linked_2,with_or_without_impaired_intellectual_development_and_dysmorphic_features',)
181	NSDHL	('CK_syndrome\\x3bCHILD_syndrome',)
182	BGN	('Meester-Loeys_syndrome\\x3bSpondyloepimetaphyseal_dysplasia,X-linked',)
183	ATP2B3	('?Spinocerebellar_ataxia,X-linked_1',)
184	SLC6A8	('Cerebral_creatine_deficiency_syndrome_1',)
185	BCAP31	('Deafness,dystonia,and_cerebral_hypomyelination',)
186	SSR4	('Congenital_disorder_of_glycosylation,type_Iy',)
187	L1CAM	('MASA_syndrome\\x3bHydrocephalus_with_congenital_idiopathic_intestinal_pseudoobstruction\\x3bCorpus_callosum,partial_agenesis_of\\x3bCRASH_syndrome\\x3bHydrocephalus_with_Hirschsprung_disease\\x3bHydrocephalus_due_to_aqueductal_stenosis',)
188	AVPR2	('Diabetes_insipidus,nephrogenic,1\\x3bNephrogenic_syndrome_of_inappropriate_antidiuresis',)
189	NAA10	('Microphthalmia,syndromic_1\\x3bOgden_syndrome',)
190	HCFC1	('Methylmalonic_aciduria_and_homocysteinemia,cblX_type',)
191	OPN1LW	('Blue_cone_monochromacy\\x3bColorblindness,protan',)
192	OPN1MW	('Colorblindness,deutan\\x3bBlue_cone_monochromacy',)
193	FLNA	('Otopalatodigital_syndrome,type_II\\x3bIntestinal_pseudoobstruction,neuronal\\x3bCardiac_valvular_dysplasia,X-linked\\x3b?FG_syndrome_2\\x3bMelnick-Needles_syndrome\\x3bTerminal_osseous_dysplasia\\x3bCongenital_short_bowel_syndrome\\x3bOtopalatodigital_syndrome,type_I\\x3bHeterotopia,periventricular,1\\x3bFrontometaphyseal_dysplasia_1',)
194	RPL10	('{Autism,susceptibility_to,X-linked_5}\\x3bIntellectual_developmental_disorder,X-linked_syndromic_35',)
195	TAZ	('Barth_syndrome',)
196	ATP6AP1	('Immunodeficiency_47',)
197	GDI1	('Intellectual_developmental_disorder,X-linked_41',)
198	FAM50A	('Intellectual_developmental_disorder,X-linked_syndromic,Armfield_type',)
199	LAGE3	('Galloway-Mowat_syndrome_2,X-linked',)
200	G6PD	('Hemolytic_anemia,G6PD_deficient_(favism)\\x3b{Resistance_to_malaria_due_to_G6PD_deficiency}',)
201	IKBKG	('Incontinentia_pigmenti\\x3bEctodermal_dysplasia_and_immunodeficiency_1\\x3bImmunodeficiency_33\\x3bAutoinflammatory_disease,systemic,X-linked',)
202	F8	('Thrombophilia_13,X-linked,due_to_factor_VIII_defect\\x3bHemophilia_A',)
203	RAB39B	('Intellectual_developmental_disorder,X-linked_72\\x3bWaisman_syndrome',)
204	TMLHE	('{Autism,susceptibility_to,X-linked_6}',)
