	Associated Disease
CACNA1F	Cone-rod_dystrophy,X-linked,3\x3bNight_blindness,congenital_stationary_(incomplete),2A,X-linked\x3bAland_Island_eye_disease
CCDC22	Ritscher-Schinzel_syndrome_2
USP27X	Intellectual_developmental_disorder,X-linked_105
CLCN5	Proteinuria,low_molecular_weight,with_hypercalciuric_nephrocalcinosis\x3bHypophosphatemic_rickets\x3bDent_disease_1\x3bNephrolithiasis,type_I
BMP15	Premature_ovarian_failure_4\x3bOvarian_dysgenesis_2
KDM5C	Intellectual_developmental_disorder,X-linked_syndromic,Claes-Jensen_type
IQSEC2	Intellectual_developmental_disorder,X-linked_1
SMC1A	Cornelia_de_Lange_syndrome_2\x3bDevelopmental_and_epileptic_encephalopathy_85,with_or_without_midline_brain_defects
HSD17B10	HSD10_mitochondrial_disease
HUWE1	Intellectual_developmental_disorder,X-linked_syndromic,Turner_type
PHF8	Intellectual_developmental_disorder,X-linked_syndromic,Siderius_type
TSR2	?Diamond-Blackfan_anemia_14_with_mandibulofacial_dysostosis
FGD1	Intellectual_developmental_disorder,X-linked_syndromic_16\x3bAarskog-Scott_syndrome
MAGED2	Bartter_syndrome,type_5,antenatal,transient
ALAS2	Anemia,sideroblastic,1\x3bProtoporphyria,erythropoietic,X-linked
ARHGEF9	Developmental_and_epileptic_encephalopathy_8
AMER1	Osteopathia_striata_with_cranial_sclerosis
ZC4H2	Wieacker-Wolff_syndrome\x3bWieacker-Wolff_syndrome,female-restricted
LAS1L	Wilson-Turner_syndrome
MSN	Immunodeficiency_50
OPHN1	Intellectual_developmental_disorder,X-linked_syndromic,Billuart_type
EFNB1	Craniofrontonasal_dysplasia
EDA	Tooth_agenesis,selective,X-linked_1\x3bEctodermal_dysplasia_1,hypohidrotic,X-linked
IGBP1	?Corpus_callosum,agenesis_of,with_impaired_intellectual_development,ocular_coloboma_and_micrognathia
ARR3	Myopia_26,X-linked,female-limited
KIF4A	?Intellectual_developmental_disorder,X-linked_100
DLG3	Intellectual_developmental_disorder,X-linked_90
TEX11	Spermatogenic_failure,X-linked_2
IL2RG	Combined_immunodeficiency,X-linked,moderate\x3bSevere_combined_immunodeficiency,X-linked
MED12	Lujan-Fryns_syndrome\x3bOhdo_syndrome,X-linked\x3bHardikar_syndrome\x3bOpitz-Kaveggia_syndrome
NLGN3	{Asperger_syndrome_susceptibility,X-linked_1}\x3b{Autism_susceptibility,X-linked_1}
GJB1	Charcot-Marie-Tooth_neuropathy,X-linked_dominant,1
NONO	Intellectual_developmental_disorder,X-linked_syndromic_34
OGT	Intellectual_developmental_disorder,X-linked_106
GCNA	Spermatogenic_failure,X-linked,4
HDAC8	Cornelia_de_Lange_syndrome_5
SLC16A2	Allan-Herndon-Dudley_syndrome
RLIM	Tonne-Kalscheuer_syndrome
ABCB7	Anemia,sideroblastic,with_ataxia
FGF16	Metacarpal_4-5_fusion
ATRX	Alpha-thalassemia/mental_retardation_syndrome\x3bAlpha-thalassemia_myelodysplasia_syndrome,somatic\x3bIntellectual_disability-hypotonic_facies_syndrome,X-linked
MAGT1	Immunodeficiency,X-linked,with_magnesium_defect,Epstein-Barr_virus_infection_and_neoplasia\x3bCongenital_disorder_of_glycosylation,type_Icc
COX7B	Linear_skin_defects_with_multiple_congenital_anomalies_2
PGK1	Phosphoglycerate_kinase_1_deficiency
TBX22	Cleft_palate_with_ankyloglossia\x3b?Abruzzo-Erickson_syndrome
BRWD3	Intellectual_developmental_disorder,X-linked_93
POU3F4	Deafness,X-linked_2
ZNF711	Intellectual_developmental_disorder,X-linked_97
POF1B	?Premature_ovarian_failure_2B
CHM	Choroideremia
DIAPH2	?Premature_ovarian_failure_2A
PCDH19	Developmental_and_epileptic_encephalopathy_9
TIMM8A	Mohr-Tranebjaerg_syndrome
BTK	Agammaglobulinemia,X-linked_1\x3bIsolated_growth_hormone_deficiency,type_III,with_agammaglobulinemia
HNRNPH2	Intellectual_developmental_disorder,X-linked_syndromic,Bain_type
GPRASP2	?Deafness,X-linked_7
PLP1	Pelizaeus-Merzbacher_disease\x3bSpastic_paraplegia_2,X-linked
SERPINA7	[Thyroxine-binding_globulin_QTL]
CLDN2	?Azoospermia,obstructive,with_nephrolithiasis
PIH1D3	Ciliary_dyskinesia,primary,36,X-linked
MID2	?Intellectual_developmental_disorder,X-linked_101
COL4A6	?Deafness,X-linked_6
IRS4	Hypothyroidism,congenital,nongoitrous,9
ACSL4	Intellectual_developmental_disorder,X-linked_63
AMMECR1	Midface_hypoplasia,hearing_impairment,elliptocytosis,and_nephrocalcinosis
CHRDL1	Megalocornea_1,X-linked
PAK3	Intellectual_developmental_disorder,X-linked_30
DCX	Subcortical_laminal_heterotopia,X-linked\x3bLissencephaly,X-linked
ALG13	Developmental_and_epileptic_encephalopathy_36
PLS3	Bone_mineral_density_QTL18,osteoporosis
CXorf56	?Intellectual_developmental_disorder,X-linked_107
UBE2A	Intellectual_developmental_disorder,X-linked_syndromic,Nascimento_type
UPF3B	Intellectual_developmental_disorder,X-linked_syndromic_14
RNF113A	Trichothiodystrophy_5,nonphotosensitive
NKAP	Intellectual_developmental_disorder,X-linked_syndromic,Hackman-Di_Donato_type
LAMP2	Danon_disease
CUL4B	Intellectual_developmental_disorder,X-linked_syndromic,Cabezas_type
GRIA3	Intellectual_developmental_disorder,X-linked_syndromic,Wu_type
THOC2	Intellectual_developmental_disorder,X-linked_12
XIAP	Lymphoproliferative_syndrome,X-linked,2
STAG2	Holoprosencephaly_13,X-linked\x3bMullegama-Klein-Martinez_syndrome
SH2D1A	Lymphoproliferative_syndrome,X-linked,1
OCRL	Dent_disease_2\x3bLowe_syndrome
SASH3	Immunodeficiency_102
ZDHHC9	Intellectual_developmental_disorder,X-linked_syndromic,Raymond_type
BCORL1	Shukla-Vernon_syndrome
ELF4	Autoinflammatory_syndrome,familial,X-linked,Behcet-like_2
AIFM1	Combined_oxidative_phosphorylation_deficiency_6\x3bCowchock_syndrome\x3bSpondyloepimetaphyseal_dysplasia,X-linked,with_hypomyelinating_leukodystrophy\x3bDeafness,X-linked_5
IGSF1	Hypothyroidism,central,and_testicular_enlargement
FRMD7	Nystagmus,infantile_periodic_alternating,X-linked\x3bNystagmus_1,congenital,X-linked
HS6ST2	?Paganini-Miozzo_syndrome
GPC4	Keipert_syndrome
GPC3	Wilms_tumor,somatic\x3bSimpson-Golabi-Behmel_syndrome,type_1
PHF6	Borjeson-Forssman-Lehmann_syndrome
HPRT1	Hyperuricemia,HRPT-related\x3bLesch-Nyhan_syndrome
SLC9A6	Intellectual_developmental_disorder,X-linked_syndromic,Christianson_type
CD40LG	Immunodeficiency,X-linked,with_hyper-IgM
ZIC3	Congenital_heart_defects,nonsyndromic,1,X-linked\x3bHeterotaxy,visceral,1,X-linked\x3bVACTERL_association,X-linked
FGF13	Developmental_and_epileptic_encephalopathy_90
F9	{Deep_venous_thrombosis,protection_against}\x3bHemophilia_B\x3bThrombophilia_8,X-linked,due_to_factor_IX_defect\x3b{Warfarin_sensitivity}
ATP11C	?Hemolytic_anemia,congenital,X-linked
SOX3	Intellectual_developmental_disorder,X-linked,with_isolated_growth_hormone_deficiency\x3bPanhypopituitarism,X-linked
AFF2	Intellectual_developmental_disorder,X-linked_109
IDS	Mucopolysaccharidosis_II
MAMLD1	Hypospadias_2,X-linked
MTM1	Myopathy,centronuclear,X-linked
HMGB3	?Microphthalmia,syndromic_13
GABRA3	Epilepsy,X-linked_2,with_or_without_impaired_intellectual_development_and_dysmorphic_features
NSDHL	CK_syndrome\x3bCHILD_syndrome
BGN	Meester-Loeys_syndrome\x3bSpondyloepimetaphyseal_dysplasia,X-linked
ATP2B3	?Spinocerebellar_ataxia,X-linked_1
SLC6A8	Cerebral_creatine_deficiency_syndrome_1
BCAP31	Deafness,dystonia,and_cerebral_hypomyelination
SSR4	Congenital_disorder_of_glycosylation,type_Iy
L1CAM	MASA_syndrome\x3bHydrocephalus_with_congenital_idiopathic_intestinal_pseudoobstruction\x3bCorpus_callosum,partial_agenesis_of\x3bCRASH_syndrome\x3bHydrocephalus_with_Hirschsprung_disease\x3bHydrocephalus_due_to_aqueductal_stenosis
AVPR2	Diabetes_insipidus,nephrogenic,1\x3bNephrogenic_syndrome_of_inappropriate_antidiuresis
NAA10	Microphthalmia,syndromic_1\x3bOgden_syndrome
HCFC1	Methylmalonic_aciduria_and_homocysteinemia,cblX_type
OPN1LW	Blue_cone_monochromacy\x3bColorblindness,protan
OPN1MW	Colorblindness,deutan\x3bBlue_cone_monochromacy
FLNA	Otopalatodigital_syndrome,type_II\x3bIntestinal_pseudoobstruction,neuronal\x3bCardiac_valvular_dysplasia,X-linked\x3b?FG_syndrome_2\x3bMelnick-Needles_syndrome\x3bTerminal_osseous_dysplasia\x3bCongenital_short_bowel_syndrome\x3bOtopalatodigital_syndrome,type_I\x3bHeterotopia,periventricular,1\x3bFrontometaphyseal_dysplasia_1
RPL10	{Autism,susceptibility_to,X-linked_5}\x3bIntellectual_developmental_disorder,X-linked_syndromic_35
TAZ	Barth_syndrome
ATP6AP1	Immunodeficiency_47
GDI1	Intellectual_developmental_disorder,X-linked_41
FAM50A	Intellectual_developmental_disorder,X-linked_syndromic,Armfield_type
LAGE3	Galloway-Mowat_syndrome_2,X-linked
G6PD	Hemolytic_anemia,G6PD_deficient_(favism)\x3b{Resistance_to_malaria_due_to_G6PD_deficiency}
IKBKG	Incontinentia_pigmenti\x3bEctodermal_dysplasia_and_immunodeficiency_1\x3bImmunodeficiency_33\x3bAutoinflammatory_disease,systemic,X-linked
F8	Thrombophilia_13,X-linked,due_to_factor_VIII_defect\x3bHemophilia_A
RAB39B	Intellectual_developmental_disorder,X-linked_72\x3bWaisman_syndrome
TMLHE	{Autism,susceptibility_to,X-linked_6}
